"","gene_ID","gene_symbol","annotation_ID","primary_FBgn"
"7995","34775","CG18507","CG18507","FBgn0028527"
"7996","34828","CG15293","CG15293","FBgn0028526"
"7997","34964","c(2)M","CG4249","FBgn0028525"
"7998","34980","CG5888","CG5888","FBgn0028523"
"7999","34822","CG4500","CG4500","FBgn0028519"
"8000","34920","CG18480","CG18480","FBgn0028518"
"8001","34890","ZnT35C","CG3994","FBgn0028516"
"8002","34953","EndoGI","CG4930","FBgn0028515"
"8003","34773","CG9254","CG9254","FBgn0028513"
"8004","34803","cenG1A","CG31811","FBgn0028509"
"8005","34928","CG3793","CG3793","FBgn0028507"
"8006","34975","CG4455","CG4455","FBgn0028506"
"8007","38324","CG12182","CG12182","FBgn0028504"
"8008","40456","CG9063","CG9063","FBgn0028500"
"8009","42178","CG7985","CG7985","FBgn0028499"
"8010","37707","CG3530","CG3530","FBgn0028497"
"8011","37126","CG30116","CG30116","FBgn0028496"
"8012","37012","CG6424","CG6424","FBgn0028494"
"8013","31341","CG2930","CG2930","FBgn0028491"
"8014","34577","CG31705","CG31705","FBgn0028490"
"8015","41677","f-cup","CG9611","FBgn0028487"
"8016","38489","Ack","CG14992","FBgn0028484"
"8017","33635","CG16857","CG16857","FBgn0028482"
"8018","33276","CG4341","CG4341","FBgn0028481"
"8019","31965","CG17841","CG17841","FBgn0028480"
"8020","34276","CG4389","CG4389","FBgn0028479"
"8021","43462","CG15817","CG15817","FBgn0028476"
"8022","42806","CG10221","CG10221","FBgn0028475"
"8023","31481","CG4119","CG4119","FBgn0028474"
"8024","35963","CG8801","CG8801","FBgn0028473"
"8025","42897","CG5720","CG5720","FBgn0028471"
"8026","42500","rtet","CG5760","FBgn0028468"
"8027","33932","CG11070","CG11070","FBgn0028467"
"8028","36654","Ercc1","CG10215","FBgn0028434"
"8029","117464","He","CG31770","FBgn0028430"
"8030","39156","I-2","CG10574","FBgn0028429"
"8031","53573","Ilk","CG10504","FBgn0028427"
"8032","36086","JhI-1","CG3298","FBgn0028426"
"8033","34624","JhI-21","CG12317","FBgn0028425"
"8034","36819","JhI-26","CG3767","FBgn0028424"
"8035","44483","KaiRIA","CG18039","FBgn0028422"
"8036","32071","Kap3","CG11759","FBgn0028421"
"8037","34578","Mst33A","CG6541","FBgn0028412"
"8038","37769","Nxt1","CG12752","FBgn0028411"
"8039","35955","Drep-2","CG1975","FBgn0028408"
"8040","36292","Drep-3","CG8364","FBgn0028407"
"8041","34734","Drep-4","CG9414","FBgn0028406"
"8042","40325","Sin","CG10582","FBgn0028402"
"8043","40876","Syt4","CG10047","FBgn0028400"
"8044","39827","TMS1","CG4672","FBgn0028399"
"8045","32574","Tob","CG9214","FBgn0028397"
"8046","44121","TotA","CG31509","FBgn0028396"
"8047","34191","CG17834","CG17834","FBgn0028394"
"8048","43928","chm","CG5229","FBgn0028387"
"8049","42008","decay","CG14902","FBgn0028381"
"8050","43927","fal","CG9670","FBgn0028380"
"8051","43926","fan","CG7919","FBgn0028379"
"8052","3772583","gdl","CG33755","FBgn0028377"
"8053","34961","heix","CG5876","FBgn0028375"
"8054","41547","hug","CG6371","FBgn0028374"
"8055","37261","isopeptidase-T-3","CG11025","FBgn0028372"
"8056","43997","jbug","CG30092","FBgn0028371"
"8057","31292","kirre","CG3653","FBgn0028369"
"8058","31598","l(1)G0148","CG32742","FBgn0028360"
"8059","32732","l(1)G0222","CG8465","FBgn0028343"
"8060","31950","l(1)G0230","CG2968","FBgn0028342"
"8061","31907","l(1)G0232","CG32697","FBgn0028341"
"8062","31605","l(1)G0255","CG4094","FBgn0028336"
"8063","31964","l(1)G0289","CG2221","FBgn0028331"
"8064","326234","l(1)G0320","CG32701","FBgn0028327"
"8065","31406","l(1)G0334","CG7010","FBgn0028325"
"8066","31874","ric8a","CG15797","FBgn0028292"
"8067","40693","MTA1-like","CG2244","FBgn0027951"
"8068","41151","MBD-like","CG8208","FBgn0027950"
"8069","35254","msb1l","CG10364","FBgn0027949"
"8070","41952","msps","CG5000","FBgn0027948"
"8071","40349","ppl","CG7758","FBgn0027945"
"8072","34170","Akap200","CG13388","FBgn0027932"
"8073","40541","MP1","CG1102","FBgn0027930"
"8074","34813","nimB1","CG33119","FBgn0027929"
"8075","38228","CG12018","CG12018","FBgn0027903"
"8076","43228","ball","CG6386","FBgn0027889"
"8077","35053","Aac11","CG6582","FBgn0027885"
"8078","43426","Cpsf100","CG1957","FBgn0027873"
"8079","37011","rdgBbeta","CG17818","FBgn0027872"
"8080","34481","Nup107","CG6743","FBgn0027868"
"8081","40546","CG9776","CG9776","FBgn0027866"
"8082","43127","Tsp96F","CG6120","FBgn0027865"
"8083","31806","Ogg1","CG1795","FBgn0027864"
"8084","34786","CAH1","CG7820","FBgn0027844"
"8085","39390","CAH2","CG6906","FBgn0027843"
"8086","42239","CstF-64","CG7697","FBgn0027841"
"8087","37080","Dgp-1","CG5729","FBgn0027836"
"8088","37116","Dp1","CG5170","FBgn0027835"
"8089","31094","CG14785","CG14785","FBgn0027795"
"8090","31095","CG14786","CG14786","FBgn0027794"
"8091","31096","CG14787","CG14787","FBgn0027793"
"8092","38238","GV1","CG12023","FBgn0027790"
"8093","35764","Hey","CG11194","FBgn0027788"
"8094","38026","Mtch","CG6851","FBgn0027786"
"8095","42282","NP15.6","CG6008","FBgn0027785"
"8096","42285","Prp18","CG6011","FBgn0027784"
"8097","36653","SMC2","CG10212","FBgn0027783"
"8098","34175","U26","CG13401","FBgn0027780"
"8099","34997","VhaSFD","CG17332","FBgn0027779"
"8100","39939","blot","CG3897","FBgn0027660"
"8101","41930","glob1","CG9734","FBgn0027657"
"8102","43392","htt","CG9995","FBgn0027655"
"8103","43630","jdp","CG2239","FBgn0027654"
"8104","32938","Pfrx","CG3400","FBgn0027621"
"8105","43751","Acf1","CG1966","FBgn0027620"
"8106","36037","Adam","CG12131","FBgn0027619"
"8107","42957","CG5808","CG5808","FBgn0027617"
"8108","38420","YT521-B","CG12076","FBgn0027616"
"8109","39222","CG6404","CG6404","FBgn0027615"
"8110","34437","CG6206","CG6206","FBgn0027611"
"8111","41640","CG8790","CG8790","FBgn0027610"
"8112","33648","morgue","CG15437","FBgn0027609"
"8113","40713","CG2082","CG2082","FBgn0027608"
"8114","35897","CG8230","CG8230","FBgn0027607"
"8115","32777","Vps4","CG6842","FBgn0027605"
"8116","32910","Ulp1","CG12359","FBgn0027603"
"8117","32725","CG8611","CG8611","FBgn0027602"
"8118","32426","CG9009","CG9009","FBgn0027601"
"8119","34336","obst-B","CG4778","FBgn0027600"
"8120","37992","CG2790","CG2790","FBgn0027599"
"8121","43654","CG31012","CG31012","FBgn0027598"
"8122","33356","CG17712","CG17712","FBgn0027597"
"8123","36668","CG10249","CG10249","FBgn0027596"
"8124","38218","drpr","CG2086","FBgn0027594"
"8125","33223","MED15","CG4184","FBgn0027592"
"8126","37960","CG16936","CG16936","FBgn0027590"
"8127","36005","CG1688","CG1688","FBgn0027589"
"8128","49953","CG14476","CG14476","FBgn0027588"
"8129","38032","CG7028","CG7028","FBgn0027587"
"8130","34728","CG5867","CG5867","FBgn0027586"
"8131","35866","CG8740","CG8740","FBgn0027585"
"8132","41330","CG4757","CG4757","FBgn0027584"
"8133","43502","CG7601","CG7601","FBgn0027583"
"8134","34546","CG6230","CG6230","FBgn0027582"
"8135","36513","CG6191","CG6191","FBgn0027581"
"8136","36020","CG1516","CG1516","FBgn0027580"
"8137","43350","CG5508","CG5508","FBgn0027579"
"8138","43413","CG14526","CG14526","FBgn0027578"
"8139","42561","GABA-B-R2","CG6706","FBgn0027575"
"8140","43266","CG5815","CG5815","FBgn0027574"
"8141","37028","CG5009","CG5009","FBgn0027572"
"8142","40588","Nep2","CG9761","FBgn0027570"
"8143","38928","CG7207","CG7207","FBgn0027569"
"8144","34403","CG5366","CG5366","FBgn0027568"
"8145","39161","CG8108","CG8108","FBgn0027567"
"8146","40250","CG5498","CG5498","FBgn0027565"
"8147","31489","CG3149","CG3149","FBgn0027564"
"8148","41729","CG9631","CG9631","FBgn0027563"
"8149","42017","CG10345","CG10345","FBgn0027562"
"8150","35929","CG18659","CG18659","FBgn0027561"
"8151","33642","Tps1","CG4104","FBgn0027560"
